line_number,context,original_text_portuguese,category,priority,special_note,character_count
1255,primeiro_encounter_1,Presença aceita.,poetic phrase,alta,cultural metaphor,18
1255,primeiro_encounter_2,Dois mundos um gesto.,poetic phrase,alta,cultural metaphor,24
1255,primeiro_encounter_3,Sem esforço. Só verdade.,poetic phrase,alta,emotional tone,27
1256,primeiro_encounter_4,Afinidade instantânea.,poetic phrase,alta,,21
1256,primeiro_encounter_5,Conforto raro.,poetic phrase,alta,,14
1256,primeiro_encounter_6,Se reconheceram de primeira.,poetic phrase,alta,,27
1257,primeiro_encounter_7,Isso não se planeja.,poetic phrase,alta,philosophical,20
1257,primeiro_encounter_8,Encontro que já valeu.,poetic phrase,alta,,24
1257,primeiro_encounter_9,Dois estranhos a menos.,poetic phrase,alta,,22
1258,primeiro_encounter_10,Sintonia no improviso.,poetic phrase,alta,poetic,20
1258,primeiro_encounter_11,O gesto disse tudo.,poetic phrase,alta,,22
1258,primeiro_encounter_12,Conexão sem filtro.,poetic phrase,alta,,21
1259,primeiro_encounter_13,O acaso acertou.,poetic phrase,alta,,16
1259,primeiro_encounter_14,A cidade conspirou.,poetic phrase,alta,personification,21
1259,primeiro_encounter_15,Dois caminhos cruzados.,poetic phrase,alta,,23
1260,primeiro_encounter_16,Universos se tocaram.,poetic phrase,alta,,23
1260,primeiro_encounter_17,Um toque. Tudo mudou.,poetic phrase,alta,,21
1260,primeiro_encounter_18,Desconhecidos? Não mais.,poetic phrase,alta,,20
1261,primeiro_encounter_19,O primeiro gesto.,poetic phrase,alta,,16
1261,primeiro_encounter_20,Começo de tudo.,poetic phrase,alta,,14
1261,primeiro_encounter_21,O ar mudou.,poetic phrase,alta,,11
1262,primeiro_encounter_22,Algo começou aqui.,poetic phrase,alta,,18
1262,primeiro_encounter_23,Gravidade entre dois.,poetic phrase,alta,,22
1262,primeiro_encounter_24,Química de surpresa.,poetic phrase,alta,,20
1263,primeiro_encounter_25,Impossível ignorar.,poetic phrase,alta,,18
1263,primeiro_encounter_26,O toque ficou.,poetic phrase,alta,,15
1263,primeiro_encounter_27,Curiosidade recíproca.,poetic phrase,alta,,21
1264,primeiro_encounter_28,Fio invisível.,poetic phrase,alta,,14
1264,primeiro_encounter_29,Olharam e souberam.,poetic phrase,alta,,19
1264,primeiro_encounter_30,Isso vai ecoar.,poetic phrase,alta,,15
1265,primeiro_encounter_31,A peça que faltava.,poetic phrase,alta,,21
1265,primeiro_encounter_32,Mentes em sincronia.,poetic phrase,alta,,21
1265,primeiro_encounter_33,Potencial detectado.,poetic phrase,alta,,19
1266,primeiro_encounter_34,Sinergia imediata.,poetic phrase,alta,,18
1266,primeiro_encounter_35,Respeito mútuo.,poetic phrase,alta,,16
1266,primeiro_encounter_36,Complementares.,poetic phrase,alta,,14
1267,primeiro_encounter_37,Encontro com futuro.,poetic phrase,alta,,20
1267,primeiro_encounter_38,Parceria inesperada.,poetic phrase,alta,,19
1267,primeiro_encounter_39,Paletas misturadas.,poetic phrase,alta,,18
1268,primeiro_encounter_40,Faísca criativa.,poetic phrase,alta,,16
1268,primeiro_encounter_41,Frequência rara.,poetic phrase,alta,,15
1268,primeiro_encounter_42,Dois universos uma porta.,poetic phrase,alta,,26
1269,primeiro_encounter_43,Energia que cria.,poetic phrase,alta,,16
1269,primeiro_encounter_44,O improviso acendeu.,poetic phrase,alta,,19
1269,primeiro_encounter_45,Tela em branco a dois.,poetic phrase,alta,,21
1270,primeiro_encounter_46,Encostou. Conectou.,poetic phrase,alta,,20
1270,primeiro_encounter_47,Sem roteiro. Perfeito.,poetic phrase,alta,,21
1270,primeiro_encounter_48,Ponto de partida.,poetic phrase,alta,,16
1271,primeiro_encounter_49,Dois sinais. Uma frequência.,poetic phrase,alta,,26
1271,primeiro_encounter_50,A sorte encontrou vocês.,poetic phrase,alta,,23
